RequestId,69bd9827620f00a58b1a07d2
X,HFCT
165135,4.248841286
165270,4.498313427
165405,3.439657688
165540,3.178187847
165675,2.754150629
165810,2.836393595
165945,1.906469464
166080,1.914342523
166215,2.961058617
166350,3.332301617
166485,3.668749094
166620,3.503163338
166755,3.136091709
166890,2.217753172
167025,3.186961174
167160,3.267014503
167295,3.26540494
167430,2.10567522
167565,2.195241213
167700,2.513524294
167835,2.752945185
167970,3.084655523
168105,2.571330786
168240,2.904431581
168375,2.265223503
168510,2.17886138
168645,2.181539059
168780,2.745162487
168915,2.351115227
169050,2.595921993
169185,2.475970268
169320,2.15118885
169455,2.425116777
169590,2.654548645
169725,2.735624552
169860,2.349410534
169995,2.513631344
170130,2.114055634
170265,2.418408155
170400,2.570211887
170535,2.524856091
170670,1.951524854
170805,1.912799478
170940,2.380678415
171075,1.86155498
171210,2.135289669
171345,2.03584528
171480,1.951053977
171615,2.021775961
171750,1.86956346
171885,2.292591333
172020,1.906933188
172155,1.937592626
172290,1.86738956
172425,2.2315135
172560,2.180143356
172695,2.154198647
172830,1.910101414
172965,2.19205904
173100,1.875702024
173235,2.161434174
173370,2.122713804
173505,1.828533411
173640,2.01578331
173775,1.818146586
173910,1.924232125
174045,2.12169981
174180,2.060891628
174315,1.871865153
174450,2.01862359
174585,1.748623848
174720,1.850886106
174855,1.999470234
174990,1.857942581
175125,1.953965306
175260,1.982102513
175395,1.914168715
175530,1.842268109
175665,1.791873574
175800,1.891067624
175935,1.791023374
176070,1.954979062
176205,1.848355889
176340,2.022856712
176475,2.048257828
176610,1.949675679
176745,1.825805545
176880,1.784317374
177015,1.990138769
177150,1.807253718
177285,1.795123577
177420,2.039379597
177555,1.985836148
177690,1.880036235
177825,2.033408403
177960,1.982595325
178095,2.005246878
178230,1.905497551
178365,1.817014694
178500,1.842369437
178635,1.990532398
178770,1.921651483
178905,1.883755445
179040,1.966774225
179175,1.95136559
179310,1.875165701
179445,1.885065675
179580,1.831183314
179715,1.805104256
179850,1.784285069
179985,1.916043758
180120,1.878734708
180255,1.816784024
180390,1.952106833
180525,1.843683004
180660,1.881284475
180795,1.879954576
180930,1.784665108
181065,1.812542081
181200,1.908520103
181335,1.933282018
181470,2.006400585
181605,1.894044638
181740,1.868056774
181875,1.964377999
182010,1.913547516
182145,1.986179471
182280,1.944888473
182415,1.962264299
182550,2.012735844
182685,1.96754837
182820,1.874198794
182955,1.914931297
183090,1.894651175
183225,1.897288799
183360,1.928934574
183495,1.910071373
183630,1.978535771
183765,1.936106086
183900,2.03579855
184035,1.931981444
184170,1.962529659
184305,1.935846925
184440,1.949675798
184575,1.910564303
184710,1.946939588
184845,2.07243824
184980,2.08267808
185115,1.988202095
185250,2.018188477
185385,1.989693403
185520,1.973118782
185655,1.999738455
185790,1.933709741
185925,1.889826655
186060,1.985880375
186195,1.938998342
186330,1.946639776
186465,1.890946269
186600,1.991459966
186735,1.945808768
186870,1.934021592
187005,2.070207119
187140,2.046667099
187275,2.002128839
187410,2.001032352
187545,2.012800217
187680,1.990697861
187815,1.996538758
187950,2.090871334
188085,2.011232853
188220,2.023626328
188355,2.003689289
188490,2.011974573
188625,2.000324965
188760,2.000848293
188895,1.964191556
189030,1.962005138
189165,1.995956659
189300,1.968647838
189435,1.996461391
189570,2.028402805
189705,1.927354217
189840,2.044682026
189975,1.92361629
190110,1.956702828
190245,1.876111388
190380,1.986572266
190515,1.995694637
190650,1.953528404
190785,1.934595466
190920,1.997692704
191055,1.902569413
191190,1.865588427
191325,1.90217495
191460,1.883160949
191595,1.938893437
191730,1.897304773
191865,1.905688047
192000,1.852255225
192135,1.89776051
192270,1.862941861
192405,1.810150981
192540,1.850934625
192675,1.857484698
192810,1.884184122
192945,1.825029373
193080,1.858577251
193215,1.849346519
193350,1.857210875
193485,1.83751905
193620,1.879066348
193755,1.893073201
193890,1.882001758
194025,1.926316977
194160,1.85182929
194295,1.906819463
194430,1.964952826
194565,1.935616374
194700,1.908107638
194835,2.018317223
194970,1.899672389
195105,1.954449415
195240,1.9907974
195375,2.108828783
195510,2.076180696
195645,2.068804979
195780,2.109217882
195915,2.117507935
196050,2.140707254
196185,2.161271811
196320,2.240540981
196455,2.275805712
196590,2.417791367
196725,2.42738533
196860,2.430485249
196995,2.404106379
197130,2.534371376
197265,2.601270914
197400,2.58718133
197535,2.653196573
197670,2.70617795
197805,2.862239838
197940,2.749594927
198075,2.803916216
198210,2.868583679
198345,2.901618004
198480,2.964363337
198615,2.980846882
198750,3.069622517
198885,3.113427162
199020,3.18027854
199155,3.301494837
199290,3.309831381
199425,3.555113792
199560,3.467647314
199695,3.424463511
199830,3.508848667
199965,3.617665529
200100,3.558628798
200235,3.692671061
200370,3.733167648
200505,3.802335024
200640,3.842926741
200775,3.76790452
200910,3.940985203
201045,4.035185337
201180,3.988541842
201315,4.035377026
201450,4.017118454
201585,4.274120808
201720,4.267850876
201855,4.349789619
201990,4.355792522
202125,4.447344303
202260,4.734100342
202395,4.591518402
202530,4.490693092
202665,4.861029625
202800,4.469206333
202935,4.549206734
203070,4.596334457
203205,4.674869537
203340,4.56731081
203475,4.780069828
203610,4.746864796
203745,4.702931404
203880,4.715576172
204015,4.740375996
204150,4.851376534
204285,4.736237049
204420,4.729720116
204555,4.910179615
204690,4.736466408
204825,4.763894558
204960,4.866966724
205095,4.886713028
205230,5.105614662
205365,4.785767555
205500,4.819878578
205635,4.830486774
205770,4.718751907
205905,4.581565857
206040,4.674584389
206175,4.643068314
206310,4.494432926
206445,4.733010769
206580,4.447777748
206715,4.594932079
206850,4.575712681
206985,4.574112415
207120,4.616781712
207255,4.779887676
207390,4.335585117
207525,4.425768375
207660,4.374521255
207795,4.289093971
207930,4.145683289
208065,4.141523361
208200,4.2750597
208335,4.064006329
208470,4.125476837
208605,4.292691231
208740,3.907860279
208875,3.924728394
209010,3.845208406
209145,3.656946659
209280,3.823927402
209415,3.72392416
209550,3.589193106
