feature,source,mean_ON,mean_OFF,cohen_d,abs_d,AUC,AUC_abs,MW_p,r_pointbiserial,KS_stat,KS_p,MW_p_BH,significant
rolloff_norm_B4,new,0.6414308510638298,0.7031726190476191,-0.3256091157686596,0.3256091157686596,0.41239235055724416,0.5876076494427558,0.021034295574145035,-0.1492979499730181,0.23328267477203649,0.0028764554721137222,0.03114693767709938,True
crest_B1,new,2.8486801330485276,3.3175151177298594,-0.32449301125078533,0.32449301125078533,0.28007852077001016,0.7199214792299898,6.897668594910988e-09,-0.14879754450778762,0.41185410334346506,2.3088264642148373e-09,6.639006022601826e-08,True
cv_B1,new,1.3181401602916663,1.5559595908599337,-0.3142337377902506,0.3142337377902506,0.37145390070921985,0.6285460992907801,0.0007093317173742437,-0.14419248886504335,0.2917933130699088,7.17122240510583e-05,0.0013321595667760188,True
peak_ratio_B4,new,13.334722707072086,17.056363057437242,-0.2968041148048043,0.2968041148048043,0.49012158054711247,0.5098784194528876,0.7953028777834421,-0.1363475214049587,0.14792299898682879,0.1398392007775299,0.8388811176619869,False
crest_B3,new,5.742702042259546,4.778750451496045,0.2938568466018636,0.2938568466018636,0.5433763931104356,0.5433763931104356,0.25345569323156336,0.13501839262457996,0.12613981762917933,0.2844604523807072,0.3147756190133932,False
slope_diff_B3_B4,new,-0.46035889017403264,-1.1977377197646892,0.28663605940537107,0.28663605940537107,0.5657928064842959,0.5657928064842959,0.08316727808452798,0.13175896770421053,0.1778115501519757,0.043816817069104216,0.10854034597472295,False
spectral slope,original,-0.0006388297872340426,-0.00012499999999999998,-0.2845962627524183,0.2845962627524183,0.4745124113475177,0.5254875886524824,0.2710690872960838,-0.13083744205198164,0.1157548125633232,0.38256039148554444,0.3313066622507691,False
crest factor,original,6.017823936170212,6.975653571428573,-0.2798915867982553,0.2798915867982553,0.3301671732522796,0.6698328267477204,7.68593809495681e-06,-0.12871068163956784,0.4078014184397163,3.4783680165398164e-09,2.386138069568022e-05,True
slope_r2_B4,new,0.29105971977408174,0.23269063756967098,0.27806829263238264,0.27806829263238264,0.5747213779128671,0.5747213779128671,0.04908682495428677,0.1278859804130592,0.17831813576494426,0.042877816695253805,0.06631027230666808,False
spectral centroid,original,1160.1715537234043,1552.6485190476192,-0.27733712078915607,0.27733712078915607,0.3606889564336373,0.6393110435663627,0.00024296004640282228,-0.12755518653609144,0.25455927051671734,0.000829253455107427,0.0004923137782372978,True
spectral entropy,original,0.7936898936170214,0.7786964285714285,0.27226786558977406,0.27226786558977406,0.5636714792299898,0.5636714792299898,0.09275081166072288,0.12526060966680647,0.16084093211752787,0.08690034637995953,0.1190302082979277,False
B4 B1 ratio,original,5.192039361702128,0.42356071428571423,0.2669931424302545,0.2669931424302545,0.35540146909827763,0.6445985309017224,3.0868076820732355e-05,0.1228708928475429,0.3662613981762918,1.8374519343010135e-07,8.488721125701397e-05,True
hi lo ratio,original,3.8585835106382977,0.40967142857142863,0.25546054155773146,0.25546054155773146,0.3817439209726443,0.6182560790273557,0.0008183430135134274,0.11763864315636804,0.3130699088145897,1.5117533199872436e-05,0.0014654049311752073,True
B3 B2 ratio,original,1.9471234042553194,0.30773928571428566,0.2531911779451184,0.2531911779451184,0.37908434650455924,0.6209156534954408,0.0010431973877007886,0.11660788207661549,0.35081053698074977,7.164985035406005e-07,0.0018255954284763802,True
rolloff_norm_B1,new,0.5876702127659573,0.5385535714285711,0.2371802242239172,0.2371802242239172,0.5691489361702127,0.5691489361702127,0.068601496126584,0.10932506330208831,0.17933130699088146,0.04106325805253431,0.09107440003012014,False
B4 frac,original,0.08874148936170212,0.14009523809523813,-0.22543203499122724,0.22543203499122724,0.34321175278622085,0.6567882472137792,4.987037468997083e-06,-0.10396993662535076,0.39285714285714285,1.5232595510056988e-08,1.669573413533806e-05,True
flatness_B4,new,0.4814863872537163,0.543358748622734,-0.21625969843386905,0.21625969843386905,0.47391084093211755,0.5260891590678825,0.4923775181200458,-0.09978263057452796,0.16818642350557245,0.06519805661358428,0.5416152699320504,False
slope_r2_B3,new,0.27444523513670277,0.22455279865042652,0.1934687886342723,0.1934687886342723,0.5323581560283688,0.5323581560283688,0.39438038166337674,0.089355725849532,0.16438703140830802,0.07578566555585324,0.45751306199861164,False
crest_B4,new,3.4543965559604235,3.7210944399519406,-0.1897868956677854,0.1897868956677854,0.49012158054711247,0.5098784194528876,0.7953028777834421,-0.08766839791753146,0.14792299898682879,0.1398392007775299,0.8388811176619869,False
peak to mean,original,48.036932446808514,59.83977857142858,-0.15070540559996232,0.15070540559996232,0.33023049645390073,0.6697695035460993,7.747201524571501e-06,-0.06971450224964393,0.4078014184397163,3.4783680165398164e-09,2.386138069568022e-05,True
curvature_B4,new,-1.357236022045841,-0.823036299836642,-0.14092313171710885,0.14092313171710885,0.4814463019250253,0.5185536980749748,0.6255520945021538,-0.0652092472973436,0.19098277608915906,0.024552831283836535,0.678415651784026,False
spectral skew,original,6.227060106382979,6.954625,-0.13763871462183444,0.13763871462183444,0.350177304964539,0.649822695035461,7.928880292839312e-05,-0.06369569090680076,0.3518237082066869,6.54686244078507e-07,0.0001969431556608474,True
centroid_mhz_norm,new,5.665880468167204,7.461687907195648,-0.13647866986313356,0.13647866986313356,0.3211752786220871,0.6788247213779128,2.469541345203785e-06,-0.06316100242695351,0.31382978723404253,1.4280867369774897e-05,9.078095036339597e-06,True
