site,spectrum id,running state,y,ssn_B1,lr B2 B4,slope_diff_B1_B2,rolloff_norm_B3,spectral spread,spectral slope norm,curvature_B2,lr B3 B4,slope_loglog_B3,flatness_B1,rolloff_norm_B2,curvature_B1,band range,entropy_B3,trans_B2_B3,slope_r2_B2,energy_concentration,trans_B3_B4,entropy_B2,rolloff_norm_B4,crest_B1,crest factor,spectral centroid,B4 B1 ratio,B3 B2 ratio,_old_total,score_weighted,score_unweighted,pred_weighted,pred_unweighted
Decatur,20241028_1110,OFF,0,-0.30314063084907317,0.05,3.7320450842225625,0.1235,2254.47,-0.0002,-0.8458709409456763,0.88,-2.3560496388179293,0.194765987743197,0.765,-1.3386961164917262,1.94,0.7250483168936117,1.2442570264495156,0.10029977789405808,0.7228955668712531,2.6083642644200467,0.8991045613548793,0.8415,3.589040587144151,6.27,1963.36,0.14,2.28,1.0,0.25297940563758425,0.23999999999904,0,0
Van_GT4,20251021_2227,OFF,0,-0.04429781431425374,-3.99,-2.3512997530344855,0.8075,2552.74,-0.0002,-1.6855642895461576,-4.81,2.09760605449921,0.8187883459943968,0.4605,-0.3572594173066694,4.81,0.8613579768066796,0.2520947728439944,0.67411921904093,0.7342035678471991,3.7449636639841968,0.886679086573099,0.563,2.056075013920303,6.24,5040.71,2.85,0.44,0.0,0.2641295745910211,0.23999999999904,0,0
Van_GT4,20250619_1227,OFF,0,-0.05390745082472896,-3.97,-2.0803654998149392,0.8005,2617.89,-0.0002,-1.5631038013339291,-5.31,1.9738805807149655,0.8040883611793173,0.4725,-0.44820367716967774,5.31,0.8884731107995493,0.12564579251330532,0.6437510139791685,0.681006558941341,4.509813109038639,0.8826831551006248,0.542,4.902189674146911,5.6,4857.24,2.53,0.26,0.0,0.23927444218664592,0.1999999999992,0,0
Van_GT4,20250616_1212,OFF,0,-0.0373941849393124,-3.51,-2.4110810802755758,0.8005,2840.75,-0.0002,-1.5663197839949425,-5.66,1.3862572614696649,0.822026571990568,0.453,-0.4390994714027214,5.66,0.8945385639171044,0.14036823555745526,0.6794272754561916,0.5913598726469832,4.565692051656447,0.8752566102040353,0.5505,2.0752860378530986,5.4,4175.78,1.43,0.12,0.0,0.2641295745910211,0.23999999999904,0,0
Van_GT4,20250815_1649,OFF,0,-0.05919852556701151,-3.79,-2.244724439312358,0.784,2599.81,-0.0002,-1.8099912740927344,-4.41,1.907317774205125,0.7771536613629522,0.4445,0.02134133652271094,4.41,0.8387465200732381,0.1432526678359718,0.7120884998222612,0.7413878769305378,3.8894975535638516,0.8819110182133865,0.561,2.359845758017781,6.34,4935.56,2.66,0.54,0.0,0.3021075923345868,0.27999999999888003,0,0
HARQST2,HARQST2_on_2025-06-29,ON,1,-0.131251723345285,-1.97,0.8087701602141854,0.1985,2370.45,-0.0003,-0.36588314497762425,-1.02,-1.1750329399013666,0.21674051376940684,0.5595,-1.5244794657187102,3.48,0.8067097181715707,0.2995452076391949,0.35781464009465636,0.7485140537055409,4.40996933788554,0.8887113807248513,0.59,9.88717256956894,17.14,1768.28,0.22,2.57,1.0,0.2252922387908937,0.1999999999992,0,0
Van_GT4,20250726_1621,OFF,0,-0.04215487754767675,-3.95,-2.456653791006082,0.8135,2457.88,-0.0003,-1.7186129485165038,-5.08,2.0273925565902493,0.8150653227082091,0.45,0.07852475936662565,5.08,0.8691154401192926,0.20604807832385597,0.6856777014674316,0.7739143357339658,3.3995789689166904,0.8786358936958084,0.555,2.2037719691747952,7.59,5116.68,3.16,0.32,0.0,0.2641295745910211,0.23999999999904,0,0
HARQST2,HARQST2_off_2025-04-21,OFF,0,-0.13519011064760597,-2.06,0.4478197400556063,0.823,2761.9,-0.0003,-1.4911321279955654,-3.12,-0.5781301200557325,0.5312148938657776,0.507,-1.372733982008723,3.7,0.8723748572605872,0.13224254670897762,0.2374116721804881,0.5865245929344455,4.241902723699706,0.7944768873651068,0.455,2.596380602459025,4.62,2752.3,0.56,0.34,0.0,0.12194366616294448,0.15999999999936002,0,0
AEP_Turk,AEP_Turk_S2,OFF,0,-0.3432093730992053,-0.02,4.161608331848581,0.656,1555.82,-0.0003,-0.6569071062331399,-2.01,-0.7862080209706369,0.19060204644929682,0.7955,-1.561653621558594,4.98,0.8692523555117139,0.6707733454057885,0.2526326724276873,0.8544657316778483,2.8177306928116916,0.935482599778756,0.864,3.4711207155599966,6.59,789.9,0.05,0.14,1.0,0.07812903124927988,0.07999999999968001,0,0
HARQST1,HARQST1_on_2025-07-04,ON,1,-0.08887569433691007,-1.3,-1.2423847261354684,0.5715,2463.61,-0.0004,0.6089577449555814,-2.62,-0.9935915795746425,0.34954548482343495,0.174,-0.9307644159625228,4.05,0.8727355127030116,0.24169084248101402,0.7013109360168165,0.7310583526166053,4.855524057925814,0.8169151876444211,0.6275,6.879472976804611,11.97,1788.52,0.24,0.27,0.0,0.44023685447642924,0.35999999999856,1,1
HARQST1,HARQST1_off_2025-04-21,OFF,0,-0.13487185069386445,-3.92,0.4340198949992844,0.9575,2020.52,-0.0004,-0.5531347857744213,-4.12,-0.5340718625006501,0.257836023807189,0.4895,-2.4801708388754795,5.9,0.9272212030118108,0.6120508793040254,0.3683454747944086,0.8191005287446229,5.165704045765128,0.8735207881917151,0.4585,4.300530305903694,7.94,1555.43,0.17,0.82,0.0,0.02494062245996054,0.039999999999840004,0,0
Harq_ST1,20250525_1140,OFF,0,-0.17871270265471723,-3.52,1.0189404780179039,0.9635,2043.41,-0.0004,-0.8086031938576924,-4.41,-0.38521778052121125,0.22602369379644704,0.4795,-2.9401877670639287,6.18,0.9142094866432642,1.11046473174961,0.3245554889674612,0.799217934510821,5.205079667569598,0.8709673701876824,0.4915,3.666616136964367,6.76,1531.73,0.17,0.41,0.0,0.02494062245996054,0.039999999999840004,0,0
Harq_ST1,20251118_1033,OFF,0,-0.17043433549849873,-3.3,1.0805823715890397,0.9115,1980.96,-0.0004,-0.9450212588611172,-4.32,-0.34427192889531655,0.23989724969323453,0.4995,-2.634909552602655,6.19,0.9258766068102813,0.5016725991468771,0.23892229879207505,0.8130642424405672,4.736792089657433,0.863458841275523,0.491,4.018402139664691,7.46,1467.63,0.15,0.36,0.0,0.02494062245996054,0.039999999999840004,0,0
